reset,classification,multiStepBestPredictions.0,anomalyScore,multiStepBestPredictions:multiStep:errorMetric='aae':steps=0:window=100:field=classification,,,,
int,string,string,string,float,,,,
R,,,,,,,,
0,1,0.0,None,1.0,,,,
0,1,1.0,None,0.5,,,,
0,1,1.0,None,0.333333333333,,,,
0,1,1.0,None,0.25,,,,
0,1,1.0,None,0.2,,,,
0,1,1.0,None,0.166666666667,,,,
0,1,1.0,None,0.142857142857,,,,
0,1,1.0,None,0.125,,,,
0,1,1.0,None,0.111111111111,,,,
0,1,1.0,None,0.1,,,,
0,1,1.0,None,0.0909090909091,,,,
0,1,1.0,None,0.0833333333333,,,,
0,1,1.0,None,0.0769230769231,,,,
0,1,1.0,None,0.0714285714286,,,,
0,1,1.0,None,0.0666666666667,,,,
0,1,1.0,None,0.0625,,,,
0,1,1.0,None,0.0588235294118,,,,
0,1,1.0,None,0.0555555555556,,,,
0,1,1.0,None,0.0526315789474,,,,
0,1,1.0,None,0.05,,,,
0,1,1.0,None,0.047619047619,,,,
0,1,1.0,None,0.0454545454545,,,,
0,1,1.0,None,0.0434782608696,,,,
0,1,1.0,None,0.0416666666667,,,,
0,1,1.0,None,0.04,,,,
0,1,1.0,None,0.0384615384615,,,,
0,1,1.0,None,0.037037037037,,,,
0,1,1.0,None,0.0357142857143,,,,
0,1,1.0,None,0.0344827586207,,,,
0,1,1.0,None,0.0333333333333,,,,
0,1,1.0,None,0.0322580645161,,,,
0,1,1.0,None,0.03125,,,,
0,1,1.0,None,0.030303030303,,,,
0,1,1.0,None,0.0294117647059,,,,
0,1,1.0,None,0.0285714285714,,,,
0,1,1.0,None,0.0277777777778,,,,
0,1,1.0,None,0.027027027027,,,,
0,1,1.0,None,0.0263157894737,,,,
0,1,1.0,None,0.025641025641,,,,
0,1,1.0,None,0.025,,,,
0,1,1.0,None,0.0243902439024,,,,
0,1,1.0,None,0.0238095238095,,,,
0,1,1.0,None,0.0232558139535,,,,
0,1,1.0,None,0.0227272727273,,,,
0,1,1.0,None,0.0222222222222,,,,
0,1,1.0,None,0.0217391304348,,,,
0,1,1.0,None,0.0212765957447,,,,
0,1,1.0,None,0.0208333333333,,,,
0,1,1.0,None,0.0204081632653,,,,
0,1,1.0,None,0.02,,,,
0,1,1.0,None,0.0196078431373,,,,
0,1,1.0,None,0.0192307692308,,,,
0,1,1.0,None,0.0188679245283,,,,
0,1,1.0,None,0.0185185185185,,,,
0,1,1.0,None,0.0181818181818,,,,
0,1,1.0,None,0.0178571428571,,,,
0,1,1.0,None,0.0175438596491,,,,
0,1,1.0,None,0.0172413793103,,,,
0,1,1.0,None,0.0169491525424,,,,
0,1,1.0,None,0.0166666666667,,,,
0,1,1.0,None,0.016393442623,,,,
0,1,1.0,None,0.0161290322581,,,,
0,1,1.0,None,0.015873015873,,,,
0,1,1.0,None,0.015625,,,,
0,1,1.0,None,0.0153846153846,,,,
0,1,1.0,None,0.0151515151515,,,,
0,1,1.0,None,0.0149253731343,,,,
0,1,1.0,None,0.0147058823529,,,,
0,1,1.0,None,0.0144927536232,,,,
0,1,1.0,None,0.0142857142857,,,,
0,1,1.0,None,0.0140845070423,,,,
0,1,1.0,None,0.0138888888889,,,,
0,1,1.0,None,0.013698630137,,,,
0,1,1.0,None,0.0135135135135,,,,
0,1,1.0,None,0.0133333333333,,,,
0,1,1.0,None,0.0131578947368,,,,
0,1,1.0,None,0.012987012987,,,,
0,1,1.0,None,0.0128205128205,,,,
0,1,1.0,None,0.0126582278481,,,,
0,1,1.0,None,0.0125,,,,
0,1,1.0,None,0.0123456790123,,,,
0,1,1.0,None,0.0121951219512,,,,
0,1,1.0,None,0.0120481927711,,,,
0,1,1.0,None,0.0119047619048,,,,
0,1,1.0,None,0.0117647058824,,,,
0,1,1.0,None,0.0116279069767,,,,
0,1,1.0,None,0.0114942528736,,,,
0,1,1.0,None,0.0113636363636,,,,
0,1,1.0,None,0.0112359550562,,,,
0,1,1.0,None,0.0111111111111,,,,
0,1,1.0,None,0.010989010989,,,,
0,1,1.0,None,0.0108695652174,,,,
0,1,1.0,None,0.010752688172,,,,
0,1,1.0,None,0.0106382978723,,,,
0,1,1.0,None,0.0105263157895,,,,
0,1,1.0,None,0.0104166666667,,,,
0,1,1.0,None,0.0103092783505,,,,
0,1,1.0,None,0.0102040816327,,,,
