jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|field18:n,  modelParams|sensorParams|encoders|field19:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|sensorParams|encoders|field22:n,  modelParams|sensorParams|encoders|field1:n,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|field23:n,  modelParams|sensorParams|encoders|field3:n,  modelParams|sensorParams|encoders|field5:n,  modelParams|sensorParams|encoders|field21:n,  modelParams|sensorParams|encoders|field2:n,  modelParams|sensorParams|encoders|field12:n,  modelParams|sensorParams|encoders|field6:n,  modelParams|sensorParams|encoders|field20:n,  modelParams|sensorParams|encoders|field4:n,  modelParams|sensorParams|encoders|field24:n,  modelParams|sensorParams|encoders|field8:n,  modelParams|sensorParams|encoders|field10:n,  modelParams|sensorParams|encoders|field7:n,  modelParams|sensorParams|encoders|field16:n,  modelParams|sensorParams|encoders|field9:n,  modelParams|sensorParams|encoders|field11:n,  modelParams|sensorParams|encoders|field15:n,  modelParams|sensorParams|encoders|field13:n,  modelParams|sensorParams|encoders|field17:n,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[0]:window=1000:field=classification,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[0]:window=1000:field=classification, 
1010,  8200,  completed,  eof,  2016-05-24 12:38:31,  2016-05-24 12:39:31,  60,  modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|sensorParams|encoders|field2:n_272,  4000,  None,  None,  275,  None,  None,  0.05005,  None,  None,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0,  0.0, 
1010,  8211,  completed,  eof,  2016-05-24 12:38:33,  2016-05-24 12:39:30,  57,  modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|sensorParams|encoders|field20:n_272,  4000,  None,  None,  275,  None,  None,  0.05005,  None,  None,  None,  None,  None,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0,  0.0, 
1010,  8212,  completed,  eof,  2016-05-24 12:38:35,  2016-05-24 12:39:42,  67,  modelParams|sensorParams|encoders|field21:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|clParams|alpha_0.05005,  4000,  None,  None,  275,  None,  None,  0.05005,  None,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0,  0.0, 
1010,  8213,  completed,  eof,  2016-05-24 12:38:36,  2016-05-24 12:39:34,  58,  modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|sensorParams|encoders|field22:n_272,  4000,  None,  None,  275,  272,  None,  0.05005,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0,  0.0, 
1010,  8224,  completed,  eof,  2016-05-24 12:38:37,  2016-05-24 12:39:43,  66,  modelParams|sensorParams|encoders|field23:n_272.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275,  4000,  None,  None,  275,  None,  None,  0.05005,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0,  0.0, 
1010,  8235,  completed,  eof,  2016-05-24 12:38:38,  2016-05-24 12:39:39,  61,  modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|field24:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275,  4000,  None,  None,  275,  None,  None,  0.05005,  None,  None,  None,  None,  None,  None,  None,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0,  0.0, 
1010,  8236,  completed,  eof,  2016-05-24 12:39:24,  2016-05-24 12:40:34,  70,  modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|field3:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275,  4000,  None,  None,  275,  None,  None,  0.05005,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0,  0.0, 
1010,  8237,  completed,  eof,  2016-05-24 12:39:27,  2016-05-24 12:40:39,  72,  modelParams|sensorParams|encoders|field4:n_272.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275,  4000,  None,  None,  275,  None,  None,  0.05005,  None,  None,  None,  None,  None,  None,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0,  0.0, 
1010,  8238,  completed,  eof,  2016-05-24 12:39:31,  2016-05-24 12:40:42,  71,  modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|sensorParams|encoders|field5:n_272,  4000,  None,  None,  275,  None,  None,  0.05005,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0,  0.0, 
1010,  8249,  completed,  eof,  2016-05-24 12:39:33,  2016-05-24 12:40:45,  72,  modelParams|sensorParams|encoders|field6:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|clParams|alpha_0.05005,  4000,  None,  None,  275,  None,  None,  0.05005,  None,  None,  None,  None,  None,  None,  272,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  None,  0.0,  0.0, 
